id,gender,postal_code,poisson,stocks,university,country
1,Male,49417 CEDEX,7,$106.49M,Institut National des Sciences Appliquées de Rennes,France
2,Female,75902 CEDEX 15,5,$5.24M,Ecole Supérieure d'Electronique de l'Ouest,France
3,Male,13456 CEDEX 13,3,$170.65M,Université de Perpignan,France
4,Female,92024 CEDEX,7,$50.64M,Ecole Nationale du Génie de l'Eau et de l'Environnement de Strasbourg,France
5,Female,90009 CEDEX,4,$259.46M,Université de La Rochelle,France
6,Female,L-6380,3,$239.77M,University of Luxemburg,Luxembourg
7,Female,72004 CEDEX 1,1,n/a,Ecole Nationale Supérieur d'Ingénieurs de Constructions Aéronautique,France
8,Male,86983 CEDEX,3,$5.84B,Université de Toulouse-le-Mirail (Toulouse II),France
9,Female,95334 CEDEX,9,$310.88M,Ecole Nationale Vétérinaire de Toulouse,France
10,Male,92855 CEDEX,2,$61.73M,Institut des Sciences de l'Ingénieur de Montpellier,France
11,Female,13155 CEDEX,6,$1.19B,Université Claude Bernard (Lyon I),France
12,Male,80104 CEDEX,5,n/a,Ecole Centrale de Nantes,France
13,Male,2604,9,$5.72B,University for Humanistics (UH),Netherlands
14,Female,20292 CEDEX,2,n/a,American University of Paris,France
15,Female,50109 CEDEX,3,$7.19B,Université Lumiére (Lyon II),France
16,Male,91851 CEDEX,7,$57.51M,Ecole Supérieure des Sciences et Technologie de l'Ingénieur de Nancy,France
17,Male,51039 CEDEX,6,$542.39M,Université de Technologie de Compiègne,France
18,Male,76124 CEDEX,5,$847.46M,Institut d'Etudes Politiques de Paris (Sciences Po),France
19,Female,77104 CEDEX,9,$601.02M,Université des Sciences et Technologies de Lille (Lille I),France
20,Male,28114 CEDEX,8,n/a,Groupe Sup de Co Amiens Picardie,France
21,Female,92337 CEDEX,9,$462.74M,Ecole Nationale des Travaux Publics de l'Etat,France
22,Female,79104 CEDEX,7,$3.39B,Ecole Nationale Supérieure des Mines de Paris,France
23,Female,44019 CEDEX 1,2,$27.02B,Institut des Sciences de l'Ingénieur de Montpellier,France
24,Female,24118,7,$28.99M,Fachhochschule Worms,Germany
25,Female,94657 CEDEX,1,$631.2M,Université de Bourgogne,France
26,Female,56004 CEDEX,4,$8.61M,Ecole Nationale Supérieure de Chimie de Toulouse,France
27,Female,30942 CEDEX 9,9,$2.67B,Ecole Nationale Supérieure de Chimie de Rennes,France
28,Female,34536 CEDEX,5,$4.52B,Ecole Nationale des Ponts et Chausees,France
29,Male,1209,9,$2.55B,Geneva Business School,Switzerland
30,Female,1360,4,$1.32B,International Institute for Geo - Information Science and Earth Observation,Netherlands
31,Female,44143,11,$384.67M,"Schiller International University, Heidelberg",Germany
32,Female,8214,8,$375.34M,Hogeschool Rotterdam,Netherlands
33,Male,75367 CEDEX 08,1,$94.05M,Ecole Nationale Supérieure Electricité et Mécanique,France
34,Female,4619,3,n/a,NHTV Breda University of Professional Education,Netherlands
35,Female,77224 CEDEX,6,$1.48B,Université Stendhal (Grenoble III),France
36,Male,2004,7,$145.67M,Free University Amsterdam,Netherlands
37,Male,82037 CEDEX,2,n/a,Institut National Polytechnique de Toulouse,France
38,Male,51039 CEDEX,3,$305.47M,Ecole Nationale Supérieure des Mines d'Alès,France
39,Female,43010 CEDEX,3,n/a,Ecole Nationale d'Ingénieurs des Travaux Agricoles de Bordeaux,France
40,Female,58404 CEDEX,4,$100.44M,Ecole Nationale de la Statistique et de l'Analyse de l'information,France
41,Female,73216 CEDEX,6,$1.05B,Ecole Supérieure de Commerce de Clermont-Ferrand,France
42,Male,33010 CEDEX,7,$3.77B,Université de Pau et des Pays de l'Adour,France
43,Female,3224,3,$258.42M,Utrecht University,Netherlands
44,Male,95943 CEDEX 2,5,$1.82B,Université François Rabelais de Tours,France
45,Male,69464 CEDEX 06,7,$40.94M,Ecole Universitaire d'Ingénieurs de Lille,France
46,Female,42349,3,$35.74B,Hochschule für Internationales Management,Germany
47,Male,24053 CEDEX,4,$159.18M,Ecole Supérieure de Commerce de Reims,France
48,Female,60477 CEDEX,6,n/a,Ecole Supérieure Internationale d'Administration des Entreprises,France
49,Male,79021 CEDEX,9,$65.89M,Ecole Nationale Supérieure d'Electronique et de Radioelectricite de Grenoble,France
50,Female,21061 CEDEX,5,$1.48B,Ecole pour les Etudes et la Recherche en Informatique et Electronique,France
51,Female,91295 CEDEX,3,$8.05B,Université de Montpellier II,France
52,Female,34064 CEDEX 2,4,$31.49B,Université Paris Nord (Paris XIII),France
53,Female,90411,5,$707.33M,"Hochschule für Technik, Wirtschaft und Kultur Leipzig (FH)",Germany
54,Male,35687,6,$180.4M,Ruhr-Universität Bochum,Germany
55,Male,75971 CEDEX 20,5,$19.65M,Ecole Nationale Supérieure de Techniques Avancées,France
56,Male,73379 CEDEX,3,$5.28B,Université Val-de-Marne (Paris XII),France
57,Male,7504,6,$690.58M,Hogeschool Antwerpen,Belgium
