row_id,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_excessive_drinking,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__homicides_per_100k,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr
0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Noncore adjacent to a large metro area,Federal/State government-dependent,0.358,0.089,0.253,0.099,0.494,0.2,0.195,0.044,0.517,0.378,0.056,0.0,0.22389558232931728,0.34538152610441764,0.27309236947791166,0.1576305220883534,10.0,11.0,0.345,0.219,0.159,0.154,,0.317,12.0,9.33,33.75,5429.0,6949.0,b
2,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.503,0.057,0.171,0.065,0.503,0.243,0.166,0.017,0.016,0.954,0.002,0.018,0.11352418558736428,0.48469891411648575,0.2359328726554788,0.1658440276406713,12.0,11.0,0.296,0.222,0.123,0.08,0.177,0.35,14.0,2.1,23.81,3060.0,1749.0,b
4,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Federal/State government-dependent,0.471,0.07,0.297,0.122,0.497,0.25,0.178,0.554,0.002,0.428,0.009,0.008,0.2363455809334657,0.30983118172790464,0.3157894736842105,0.13803376365441905,10.0,11.0,0.267,,0.092,0.079,,0.259,10.0,,,690.0,,b
5,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Federal/State government-dependent,0.578,0.049,0.231,0.107,0.474,0.194,0.196,0.031,0.002,0.916,0.043,0.002,0.09136546184738956,0.3885542168674699,0.34939759036144574,0.1706827309236948,7.0,13.0,0.272,0.293,0.084,0.1,0.174,0.249,11.0,,23.11,1430.0,1160.0,b
8,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.53,0.046,0.262,0.067,0.513,0.206,0.101,0.433,0.096,0.294,0.011,0.149,0.17159763313609466,0.26627218934911245,0.1903353057199211,0.3717948717948718,15.0,6.0,0.232,0.165,0.08,0.086,0.178,0.253,11.0,3.4000000000000004,3.6799999999999997,1700.0,1870.0,a
9,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.481,0.065,0.158,0.041,0.513,0.222,0.212,0.009,0.0,0.966,0.012,0.004,0.08072653884964681,0.3733602421796165,0.34510595358224017,0.20080726538849647,11.0,12.0,0.302,0.268,0.112,0.055,,0.302,11.0,,20.14,4649.0,3139.0,a
10,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.458,0.045,0.193,0.102,0.485,0.194,0.286,0.025,0.005,0.954,0.005,0.0,0.06490872210953347,0.40060851926977686,0.3884381338742393,0.14604462474645027,9.0,12.0,0.32,0.099,0.151,0.049,,0.303,11.0,,,3039.0,,a
11,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.413,0.09,0.244,0.054,0.53,0.242,0.194,0.021,0.428,0.548,0.002,0.0,0.1779324055666004,0.42445328031809143,0.27435387673956263,0.12326043737574552,14.0,12.0,0.367,0.262,0.132,0.142,0.167,0.354,11.0,,30.64,6989.0,7030.0,a
12,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Mining-dependent,0.475,0.058,0.21,0.083,0.497,0.295,0.101,0.088,0.0,0.895,0.01,0.006,0.09605662285136503,0.3640040444893832,0.34175935288169873,0.1981799797775531,15.0,7.0,0.304,0.174,0.075,0.093,0.133,0.263,12.0,,24.01,1510.0,2619.0,b
13,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.375,0.08,0.229,0.062,0.504,0.222,0.184,0.029,0.005,0.953,0.008,0.0,0.3107971745711403,0.3652875882946519,0.22906155398587288,0.09485368314833503,14.0,13.0,0.308,0.21,0.101,0.113,,0.337,13.0,,46.28,3379.0,2569.0,a
15,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Mining-dependent,0.823,0.033,0.248,0.121,0.484,0.25,0.15,0.786,0.014,0.189,0.011,0.003,0.31409001956947163,0.3336594911937378,0.19765166340508808,0.15459882583170254,10.0,7.0,0.301,,0.1,,,0.279,9.0,,,,,b
17,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.393,0.104,0.265,0.077,0.529,0.265,0.13,0.027,0.486,0.475,0.0,0.0,0.2147177419354839,0.39919354838709686,0.2913306451612903,0.09475806451612905,14.0,12.0,0.358,0.092,0.131,0.128,,0.312,13.0,10.79,31.880000000000003,11689.0,2609.0,b
21,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.446,0.116,0.313,0.096,0.502,0.312,0.097,0.621,0.011,0.315,0.028,0.039,0.3191919191919192,0.25656565656565655,0.2898989898989899,0.13434343434343435,17.0,7.0,0.28,0.142,0.08,0.061,0.189,0.2,10.0,8.7,16.87,2139.0,2349.0,a
22,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.495,0.026,0.235,0.14,0.494,0.21,0.231,0.025,0.001,0.945,0.007,0.003,0.152,0.369,0.282,0.197,13.0,17.0,0.277,,0.099,,,0.321,10.0,,,,,a
23,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.457,0.079,0.33,0.161,0.502,0.257,0.154,0.392,0.11,0.466,0.016,0.029,0.22645290581162325,0.3577154308617234,0.2625250501002004,0.1533066132264529,15.0,10.0,0.298,0.238,0.111,0.089,,0.288,9.0,9.31,18.79,3350.0,3060.0,b
25,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.479,0.036,0.225,0.098,0.503,0.285,0.183,0.02,0.002,0.607,0.353,0.009,0.13239719157472415,0.38014042126379133,0.3299899699097292,0.15747241725175526,18.0,10.0,0.364,0.223,0.121,0.056,0.181,0.3,12.0,,24.68,1760.0,1460.0,b
